model,n-iterations,loss
ResNet-18 Deu,149,2.1738150119781494
ResNet-18 Deu,150,2.1893179416656494
ResNet-18 Deu,151,2.4036812782287598
ResNet-18 Deu,152,2.478017568588257
ResNet-18 Deu,153,2.2688231468200684
ResNet-18 Deu,154,1.9234997034072876
ResNet-18 Deu,155,2.2111620903015137
ResNet-18 Deu,156,2.300443410873413
ResNet-18 Deu,157,1.8811973333358765
ResNet-18 Deu,158,2.299156665802002
ResNet-18 Deu,159,2.328124761581421
ResNet-18 Deu,160,2.0523977279663086
ResNet-18 Deu,161,2.240997791290283
ResNet-18 Deu,162,2.073729991912842
ResNet-18 Deu,163,2.871555805206299
ResNet-18 Deu,164,2.1076877117156982
ResNet-18 Deu,165,2.876185894012451
ResNet-18 Deu,166,2.344985008239746
ResNet-18 Deu,167,2.351284980773926
ResNet-18 Deu,168,2.4618477821350098
ResNet-18 Deu,169,2.177884578704834
ResNet-18 Deu,170,2.517630100250244
ResNet-18 Deu,171,2.482837200164795
ResNet-18 Deu,172,2.284794569015503
ResNet-18 Deu,173,2.4426510334014893
ResNet-18 Deu,174,1.9471194744110107
ResNet-18 Deu,175,2.1827380657196045
ResNet-18 Deu,176,2.1171603202819824
ResNet-18 Deu,177,2.3686301708221436
ResNet-18 Deu,178,2.215071201324463
ResNet-18 Deu,179,2.1947057247161865
ResNet-18 Deu,180,2.3683416843414307
ResNet-18 Deu,181,2.1701016426086426
ResNet-18 Deu,182,2.40568208694458
ResNet-18 Deu,183,2.3083949089050293
ResNet-18 Deu,184,2.4828941822052
ResNet-18 Deu,185,2.379625082015991
ResNet-18 Deu,186,2.2393782138824463
ResNet-18 Deu,187,2.0865821838378906
ResNet-18 Deu,188,2.366885185241699
ResNet-18 Deu,189,2.5402259826660156
ResNet-18 Deu,190,2.334928035736084
ResNet-18 Deu,191,1.8201227188110352
ResNet-18 Deu,192,2.283557415008545
ResNet-18 Deu,193,2.7789223194122314
ResNet-18 Deu,194,2.4809980392456055
ResNet-18 Deu,195,2.251039743423462
ResNet-18 Deu,196,2.4433233737945557
ResNet-18 Deu,197,2.0920984745025635
ResNet-18 Deu,198,2.2970845699310303
ResNet-18 Deu,199,2.277768850326538
ResNet-18 Deu,200,2.3908629417419434
ResNet-18 Deu,201,2.384345531463623
ResNet-18 Deu,202,2.100493907928467
ResNet-18 Deu,203,2.394329786300659
ResNet-18 Deu,204,2.4005606174468994
ResNet-18 Deu,205,2.402463436126709
ResNet-18 Deu,206,2.5147900581359863
ResNet-18 Deu,207,2.1964333057403564
ResNet-18 Deu,208,2.341691493988037
ResNet-18 Deu,209,2.454589366912842
ResNet-18 Deu,210,1.8183567523956299
ResNet-18 Deu,211,2.202211856842041
ResNet-18 Deu,212,2.4055488109588623
ResNet-18 Deu,213,2.261329174041748
ResNet-18 Deu,214,2.4708213806152344
ResNet-18 Deu,215,1.9860594272613525
ResNet-18 Deu,216,2.5518529415130615
ResNet-18 Deu,217,2.4195556640625
ResNet-18 Deu,218,2.2509777545928955
ResNet-18 Deu,219,2.219979763031006
ResNet-18 Deu,220,2.408623456954956
ResNet-18 Deu,221,2.075417995452881
ResNet-18 Deu,222,1.9460760354995728
ResNet-18 Deu,223,2.261613607406616
ResNet-18 Deu,224,2.343510150909424
ResNet-18 Deu,225,2.2609784603118896
ResNet-18 Deu,226,2.4454281330108643
ResNet-18 Deu,227,2.3489766120910645
ResNet-18 Deu,228,2.1388988494873047
ResNet-18 Deu,229,2.24277925491333
ResNet-18 Deu,230,2.4620862007141113
ResNet-18 Deu,231,2.057044506072998
ResNet-18 Deu,232,2.2794344425201416
ResNet-18 Deu,233,2.1292195320129395
ResNet-18 Deu,234,2.1556429862976074
ResNet-18 Deu,235,2.1776413917541504
ResNet-18 Deu,236,2.3098039627075195
ResNet-18 Deu,237,2.615950345993042
ResNet-18 Deu,238,2.4002695083618164
ResNet-18 Deu,239,2.279249668121338
ResNet-18 Deu,240,2.2114710807800293
ResNet-18 Deu,241,2.0826187133789062
ResNet-18 Deu,242,2.669654369354248
ResNet-18 Deu,243,2.836839199066162
ResNet-18 Deu,244,2.21205735206604
ResNet-18 Deu,245,2.0766372680664062
ResNet-18 Deu,246,2.0093460083007812
ResNet-18 Deu,247,1.8782985210418701
ResNet-18 Deu,248,2.0580549240112305
ResNet-18 Deu,249,2.618387222290039
ResNet-18 Deu,250,2.536071300506592
ResNet-18 Deu,251,2.6091368198394775
ResNet-18 Deu,252,2.4883346557617188
