model,n-iterations,loss
ResNet-18 RGB,149,2.517885208129883
ResNet-18 RGB,150,2.511472463607788
ResNet-18 RGB,151,2.517289400100708
ResNet-18 RGB,152,2.310054302215576
ResNet-18 RGB,153,2.587973117828369
ResNet-18 RGB,154,2.535661220550537
ResNet-18 RGB,155,2.2448644638061523
ResNet-18 RGB,156,2.3558244705200195
ResNet-18 RGB,157,2.183502674102783
ResNet-18 RGB,158,2.267828941345215
ResNet-18 RGB,159,2.468031167984009
ResNet-18 RGB,160,2.1749119758605957
ResNet-18 RGB,161,2.5321803092956543
ResNet-18 RGB,162,2.4185729026794434
ResNet-18 RGB,163,2.6541435718536377
ResNet-18 RGB,164,2.702094078063965
ResNet-18 RGB,165,2.223315954208374
ResNet-18 RGB,166,2.558492660522461
ResNet-18 RGB,167,2.4435479640960693
ResNet-18 RGB,168,2.4271492958068848
ResNet-18 RGB,169,2.580465793609619
ResNet-18 RGB,170,2.4827845096588135
ResNet-18 RGB,171,2.3322455883026123
ResNet-18 RGB,172,2.331956148147583
ResNet-18 RGB,173,2.3315069675445557
ResNet-18 RGB,174,2.2272133827209473
ResNet-18 RGB,175,2.2553658485412598
ResNet-18 RGB,176,2.471968173980713
ResNet-18 RGB,177,2.367873430252075
ResNet-18 RGB,178,2.4146885871887207
ResNet-18 RGB,179,2.3147530555725098
ResNet-18 RGB,180,2.201643943786621
ResNet-18 RGB,181,2.204052686691284
ResNet-18 RGB,182,2.3687126636505127
ResNet-18 RGB,183,2.1802828311920166
ResNet-18 RGB,184,2.5056917667388916
ResNet-18 RGB,185,2.4676690101623535
ResNet-18 RGB,186,2.336336135864258
ResNet-18 RGB,187,2.556849479675293
ResNet-18 RGB,188,2.271916627883911
ResNet-18 RGB,189,2.324559211730957
ResNet-18 RGB,190,2.3902370929718018
ResNet-18 RGB,191,2.338069200515747
ResNet-18 RGB,192,2.3849384784698486
ResNet-18 RGB,193,2.192450761795044
ResNet-18 RGB,194,2.1995959281921387
ResNet-18 RGB,195,2.33010196685791
ResNet-18 RGB,196,2.4020562171936035
ResNet-18 RGB,197,2.349343776702881
ResNet-18 RGB,198,2.4781718254089355
ResNet-18 RGB,199,2.3263185024261475
ResNet-18 RGB,200,2.207810640335083
ResNet-18 RGB,201,2.4483861923217773
ResNet-18 RGB,202,2.2437658309936523
ResNet-18 RGB,203,2.290372371673584
ResNet-18 RGB,204,2.344184398651123
ResNet-18 RGB,205,2.253434181213379
ResNet-18 RGB,206,2.2249207496643066
ResNet-18 RGB,207,2.1481668949127197
ResNet-18 RGB,208,2.276155948638916
ResNet-18 RGB,209,2.409642457962036
ResNet-18 RGB,210,2.512979507446289
ResNet-18 RGB,211,2.23103928565979
ResNet-18 RGB,212,2.3305037021636963
ResNet-18 RGB,213,2.2627639770507812
ResNet-18 RGB,214,2.4101474285125732
ResNet-18 RGB,215,2.4132797718048096
ResNet-18 RGB,216,2.1996400356292725
ResNet-18 RGB,217,2.3195385932922363
ResNet-18 RGB,218,2.29915189743042
ResNet-18 RGB,219,2.3151092529296875
ResNet-18 RGB,220,2.541926860809326
ResNet-18 RGB,221,2.383737564086914
ResNet-18 RGB,222,2.2215466499328613
ResNet-18 RGB,223,2.1833949089050293
ResNet-18 RGB,224,2.2771191596984863
ResNet-18 RGB,225,2.4061856269836426
ResNet-18 RGB,226,2.268235683441162
ResNet-18 RGB,227,2.38641357421875
ResNet-18 RGB,228,2.293625593185425
ResNet-18 RGB,229,2.2212986946105957
ResNet-18 RGB,230,2.083955764770508
ResNet-18 RGB,231,2.3698222637176514
ResNet-18 RGB,232,2.231984853744507
ResNet-18 RGB,233,2.238593339920044
ResNet-18 RGB,234,2.2438385486602783
ResNet-18 RGB,235,2.149731159210205
ResNet-18 RGB,236,2.5449976921081543
ResNet-18 RGB,237,2.3012585639953613
ResNet-18 RGB,238,2.334235668182373
ResNet-18 RGB,239,2.4690582752227783
ResNet-18 RGB,240,2.2677040100097656
ResNet-18 RGB,241,2.56868052482605
ResNet-18 RGB,242,2.2902283668518066
ResNet-18 RGB,243,2.2549641132354736
ResNet-18 RGB,244,2.2923054695129395
ResNet-18 RGB,245,2.2579238414764404
ResNet-18 RGB,246,2.226135730743408
ResNet-18 RGB,247,2.3981876373291016
ResNet-18 RGB,248,2.2874205112457275
ResNet-18 RGB,249,2.22371244430542
ResNet-18 RGB,250,2.2716870307922363
ResNet-18 RGB,251,2.2882773876190186
ResNet-18 RGB,252,2.1383464336395264
ResNet-18 RGB,253,2.2336268424987793
ResNet-18 RGB,254,2.2727584838867188
ResNet-18 RGB,255,2.2412972450256348
ResNet-18 RGB,256,2.454409122467041
ResNet-18 RGB,257,2.3363099098205566
ResNet-18 RGB,258,2.249433994293213
ResNet-18 RGB,259,2.4055674076080322
ResNet-18 RGB,260,2.1590757369995117
ResNet-18 RGB,261,2.5745885372161865
